Query,answer_gold,50_median,50_cardinals,50_hnoun,50_hnoun_list,50_hnoun_freq,50_amod_freq,50_entities,precision_hnoun_50,correctness_hnoun_50,std_hnoun_50,precision_all_50,correctness_all_50,std_all_50
How many titles does Roger Federer have?,111,6,"{4,1,103,20,28,10,8,2,46,1,8,4,1,4,18,7,5,5,17,71,14,1,28,28,20,100,12,3,98,6,6,6,1,1,8,10,2,3,2,33,2,2,2,30,1,4,5,1,6,13,16,5,20,1,17,2,1,2,17,18,12,3,5,4,4,14,10,17,1,16,16,27,33,7,16,2}",17.000,"{103: ""103 ATP singles titles"",20: ""a record 20 Grand Slam singles titles"",1028: ""28 ATP Masters 1000 titles"",18: ""18 Grand Slam singles titles"",7: ""7 Wimbledon titles"",5: ""5 AO titles"",17: ""17 Grand Slam titles"",71: ""71 titles"",100: ""Federer's 100 titles"",10: ""10 titles"",33: ""another 33 titles"",6: ""six Grand Slam titles"",16: ""16 Grand Slam titles"",17: ""17 Grand Slam titles"",17: ""17 Grand Slam titles"",18: ""18 titles"",12: ""twelve Grand Slam singles titles"",4: ""four Tennis Masters Cup titles"",14: ""fourteen ATP Masters Series titles"",17: ""17 Grand Slam titles"",27: ""27 titles"",7: ""7 Wimbledon titles"",16: ""16 Grand Slam singles titles""}",{23: titles),{23: ),"{Djokovic: (PERSON,3,1.00),Murray: (PERSON,1,1.00),Wikipedia: (PERSON,1,1.00),Wimbledon: (ORG,14,1.00),Switzerland: (GPE,1,1.00),American: (NORP,1,1.00),France: (GPE,1,1.00),Hamburg: (GPE,2,1.00),Indian: (NORP,2,1.00),Nadal: (ORG,1,1.00),US: (GPE,1,1.00),Cincinnati: (GPE,1,1.00),Roger: (PERSON,1,1.00),Miami: (GPE,1,1.00),Beijing: (GPE,1,1.00),Tennis: (NORP,4,1.00),French: (NORP,2,1.00),Toronto: (GPE,1,1.00),German: (NORP,1,1.00),Rafael Nadal: (PERSON,3,1.00),Rotterdam: (PERSON,1,1.00),ATP: (ORG,6,1.00),Federer: (ORG,12,1.00)}",0,0.153,210.911,0,0.054,21.166
How many children does James Garfield have?,7,5,"{5,7,5,3,7,5,2,2,4000,3,7,7,7,15,2,1,3,7,7,2,3,7,2,8,5,3,20,20,7,2,7,5,2,2580}",7.000,"{5: ""five children"",7: ""seven children"",7: ""seven children"",7: ""7 children"",7: ""7 children"",7: ""seven children"",7: ""7 children"",7: ""seven children"",3: ""three living children"",7: ""seven children"",5: ""five children"",3: ""three children"",7: ""seven children"",7: ""seven children""}",{14: children),"{13: ,1: living}","{Harrison: (ORG,1,1.00),Massachusetts: (GPE,1,1.00),Eliza: (PERSON,1,1.00),Rizal: (PERSON,1,1.00),Julia: (PERSON,1,1.00),Hindi: (GPE,1,1.00),john Garfield: (PERSON,1,1.00),james monroe: (PERSON,1,1.00),Cuyahoga County: (GPE,1,1.00),Cleveland: (GPE,1,1.00),US: (GPE,3,1.00),Odie: (ORG,1,1.00),Orange Township: (GPE,2,1.00),James Garfield: (PERSON,22,1.00),UST: (ORG,1,1.00),BMW: (ORG,6,1.00),England: (GPE,1,1.00),Gavin: (PERSON,1,1.00),Cabinet: (ORG,1,1.00),Ohio: (GPE,4,1.00),Jon: (PERSON,1,1.00),James Garfield's: (PERSON,2,1.00),Jim Davis: (PERSON,2,1.00),Hitler: (PERSON,1,1.00),James: (PERSON,2,1.00),Garfield: (PERSON,14,1.00),james monroe's: (PERSON,1,1.00),American: (NORP,1,1.00),New England: (LOC,1,1.00),OO: (ORG,1,1.00),Malayalam: (ORG,1,1.00),Rhythm: (ORG,1,1.00),jewish: (NORP,1,1.00),Rudolph: (GPE,1,1.00),Stacey: (PERSON,1,1.00),III: (ORG,1,1.00),Lugar: (GPE,1,1.00),Read More: (PERSON,1,1.00)}",1,1.000,1.512,0,0.714,803.608
How many languages does India have?,121,28,"{22,22,13,720,420000000,18,461,14,19500,121,10000,121,20,2,22,800,2000,2,320,500,1,29,9,780,250,780,250,1,1000000000,28,8,178,101,1,100,9,100,550000000,750000000,16,1,10,9,1,4200,20,82000000,1,2,366000000,240000000,2,3,22,330000000,1,14,60,7117,1,2}",22.000,"{22: ""22 languages"",22: ""22 major languages"",18: ""about 18 major languages"",461: ""461 languages"",19500: ""More than 19,500 languages"",121: ""121 languages"",20: ""More than 20 languages"",22: ""22 regional languages"",800: ""At least 800 different languages"",2: ""the two official languages"",320: ""320 languages"",1: ""one national language"",780: ""780 different languages"",250: ""nearly 250 languages"",100: ""the top 100 languages"",100: ""over 100 languages"",16: ""16 other languages"",1: ""1 regional language"",10: ""10 languages"",1: ""one common written language"",22: ""the 22 scheduled languages"",14: ""up to 14 languages"",60: ""60 or more languages"",7117: ""7,117 languages"",1: ""more than one official language"",2: ""2 official languages""}","{22: languages,4: language}","{10: ,1: scheduled,3: official,1: other,2: regional,1: common,2: More,1: national,1: top,1: written,2: different,1: more,2: major}","{Tamil: (GPE,1,1.00),Asia: (LOC,1,1.00),Indonesian: (NORP,2,1.00),Altaic: (NORP,1,1.00),Chinese: (NORP,1,1.00),Islam: (GPE,2,1.00),Gujarati: (GPE,2,1.00),Language: (PERSON,1,1.00),Australia: (GPE,1,1.00),Indian: (NORP,3,1.00),Israel: (GPE,1,1.00),Cantonese: (NORP,1,1.00),Own Language: (PERSON,1,1.00),Muslim: (NORP,1,1.00),Urdu: (GPE,1,1.00),Telugu: (GPE,1,1.00),Swedish: (NORP,1,1.00),Bengali: (NORP,2,1.00),German: (NORP,1,1.00),Nepali: (ORG,3,1.00),Maithili: (ORG,1,1.00),Christianity: (ORG,1,1.00),Poland: (GPE,1,1.00),Asian: (NORP,1,1.00),Hindu: (NORP,1,1.00),Kannada: (GPE,2,1.00),Hindi: (PERSON,12,1.00),English: (LANGUAGE,11,1.00),Kashmir: (LOC,1,1.00),Muslims: (NORP,1,1.00),Odia: (ORG,2,1.00),Dravidian: (NORP,1,1.00),Malayalam: (ORG,2,1.00),Marathi: (GPE,1,1.00),China: (GPE,5,1.00),Parliament: (ORG,1,1.00),Tulu: (GPE,1,1.00),Caucasian: (NORP,1,1.00),Arabic: (LANGUAGE,1,1.00),Hinduism: (WORK_OF_ART,2,1.00),Indians: (NORP,3,1.00),Bhojpuri: (PERSON,1,1.00),UK: (GPE,2,1.00),State: (ORG,1,1.00),Hebrew: (LANGUAGE,1,1.00),Nepal: (GPE,2,1.00),India: (GPE,58,1.00),Polish: (NORP,2,1.00),Welsh: (ORG,1,1.00)}",0,0.182,3992.255,0,0.231,187950094.611
How many employees does Microsoft have?,144000,27,"{144000,61000,4,120000,80000,70000,740000,2,225,64,25,107,2,1,365,365,120000000,65,1,2,365,29,9,118899,365,1,365,10779154,2,1,2,3,4,5,6,5,5,20,128000,10,10,35000}",119449.000,"{120000: ""roughly 120,000 employees"",2: ""two employees"",118899: ""118,899 full-time employees"",128000: ""Microsoft's more than 128,000 employees""}",{4: employees),"{2: ,1: more,1: full}","{Agent: (PRODUCT,1,1.00),Microsoft Employee: (PRODUCT,1,1.00),Lexus: (ORG,1,1.00),Store: (PRODUCT,1,1.00),Salesforce: (PERSON,1,1.00),Recruit: (ORG,1,1.00),Microsoft: (ORG,58,1.00),Autism: (NORP,1,1.00),microsoft: (ORG,1,1.00),Windows: (PRODUCT,1,1.00),Exchange: (ORG,1,1.00),ANONYMOUS: (ORG,1,1.00),Bill Gates: (PERSON,1,1.00),Bellevue: (GPE,1,1.00),Redmond: (GPE,1,1.00),Bill Gates's: (PERSON,1,1.00),Amazon: (ORG,1,1.00),Bill: (PERSON,1,1.00),Edward: (PERSON,1,1.00),LinkedIn: (ORG,2,1.00),Google: (ORG,4,1.00),Team: (ORG,1,1.00),SCO: (ORG,1,1.00),Washington: (GPE,2,1.00),Facebook: (ORG,1,1.00),Alaska: (GPE,1,1.00)}",0,0.830,61283.185,0,0.000,18544744.952
How many books did J. K. Rowling write?,22,5,"{12,7,2,15,500000000,5,400000000,1,1,15,7,2,5,1,1,1,2,3,4,12,1,13,2,13,6,1,13,7,7,7,1,13,1,1,7}",7.000,"{7: ""the seven books"",7: ""the 7 Harry Potter books"",6: ""6 Life-Changing Books"",13: ""thirteen books"",7: ""over seven books"",7: ""the seven books"",13: ""thirteen books"",7: ""seven books""}","{1: Books,7: books}","{7: ,1: Changing}","Potter: (PERSON,1,1.00),Scotland: (GPE,2,1.00),Stephen King: (PERSON,1,1.00),Joanne: (PERSON,2,1.00),Edinburgh: (GPE,4,1.00),West End: (LOC,1,1.00),Telegraph UK: (PERSON,1,1.00),Manchester: (GPE,1,1.00),Hermione: (ORG,1,1.00),Amnesty International: (ORG,1,1.00),OBE: (ORG,1,1.00),Sorcerer: (FAC,3,1.00),Thorne: (PERSON,1,1.00),Write: (ORG,1,1.00),British: (NORP,3,1.00),Mini-Book: (PERSON,1,1.00),Britain: (GPE,1,1.00),jk Rowling: (PERSON,1,1.00),Jk Rowling: (PERSON,1,1.00),Writing: (GPE,1,1.00),Harry: (PERSON,1,1.00),English: (LANGUAGE,1,1.00),JK Rowling: (ORG,8,1.00),Harry Potter: (PERSON,42,1.00),J.K Rowling: (ORG,1,1.00),Enid Blyton: (PERSON,1,1.00),Kathleen: (PERSON,1,1.00),Rowling: (ORG,5,1.00),JKR: (GPE,1,1.00)}",0,0.318,2.875,0,0.227,106668416.013
How many translations does The Bible have?,698,285,"{698,1548,1138,3384,10,1,120,2000,3324,2189,674,3312,1500,700,7000,450,1,50,1,5800,10000,19000,50,5,2470,7,1,2,2,7000,1,1,1,1,50,5}",50.000,"{10: ""the top 10 most accurate Bible translations"",1: ""a one-person translation"",120: ""about 120 English translations"",450: ""More than 450 translations"",50: ""as many as 50 different English versions"",50: ""over 50 different versions"",7: ""seven books"",2: ""two other books"",50: ""as many as 50 different English versions""}","{3: versions,3: translations,2: books,1: translation}","{2: ,1: other,2: many,1: More,1: top,3: different,1: accurate,3: English}",,0,0.072,143.051,0,0.408,3789.493
How many comic books does The Adventures of Tintin have?,24,5,"{24,39,23,24,70,200000000,2,1,2,20,70,3,1,3,1,3,10,110,5,1,150000000,40,1,38,3,1,1}",2.000,"{23: ""the original 23 adventures"",3: ""three central volumes"",1: ""1 book"",1: ""1 book""}","{2: book,1: adventures,1: volumes}","{1: central,1: original,2: }","Netflix: (GPE,1,1.00),US: (GPE,1,1.00),Peter Jackson: (PERSON,1,1.00),Andy Warhol: (PERSON,1,1.00),Belgium: (GPE,3,1.00),European: (NORP,3,1.00),Europe: (LOC,3,1.00),Captain Haddock: (PERSON,1,1.00),Edgar Wright: (PERSON,1,1.00),Jamie: (PERSON,1,1.00),Belgians: (NORP,1,1.00),Steven Spielberg: (PERSON,4,1.00),Esperanto: (GPE,1,1.00),Alfred Hitchcock: (PERSON,1,1.00),Supporting: (PERSON,1,1.00),Haddock: (PERSON,1,1.00),Herge: (PERSON,8,1.00),German: (NORP,1,1.00),Joe Cornish: (PERSON,1,1.00),Brussels: (GPE,1,1.00),Jamie Bell: (PERSON,1,1.00),Asterix: (PERSON,2,1.00),Roy Lichtenstein: (PERSON,1,1.00),Congo: (GPE,3,1.00),Tintin: (PERSON,57,1.00),Movie: (ORG,1,1.00),French: (NORP,3,1.00),3D: (PRODUCT,1,1.00),English: (LANGUAGE,1,1.00),France: (GPE,2,1.00),Caribbean: (LOC,1,1.00),Welsh: (ORG,1,1.00),Canada: (GPE,1,1.00),Spielberg: (PERSON,1,1.00),UK: (GPE,1,1.00),Soviets: (NORP,4,1.00),Les: (ORG,1,1.00),India: (GPE,1,1.00),Thailand: (GPE,1,1.00),Belgian: (NORP,11,1.00),Serbo-Croatian: (ORG,1,1.00)}",0,0.083,10.708,0,0.208,47215932.001
How many novels did Franz Kafka write?,3,1,"{1,1,3,1,6,1,1,1,2,2,1,1,6,2,3,1}",3.000,"{3: ""three novels""}",{1: novels),{1: ),"{Czech Republic: (GPE,1,1.00),John Updike: (PERSON,1,1.00),Yiddish: (NORP,1,1.00),Charles Dickens: (PERSON,1,1.00),Authors: (GPE,1,1.00),Valerie: (PERSON,1,1.00),Czech: (NORP,2,1.00),Anton Chekhov: (PERSON,1,1.00),Russian: (NORP,1,1.00),Trial: (ORG,3,1.00),FK: (ORG,1,1.00),George: (PERSON,1,1.00),German: (NORP,14,1.00),Exorcist: (PERSON,1,1.00),English: (LANGUAGE,1,1.00),Jewish: (NORP,6,1.00),Kafka: (PERSON,33,1.00),Julie: (PERSON,1,1.00),Absurd: (ORG,1,1.00),Metamorphosis: (ORG,2,1.00),America: (GPE,1,1.00),Hungary: (GPE,2,1.00)}",1,1.000,,0,0.333,1.692
How many awards did Arundhati Roy win?,6,6,"{24,2020,2020,3,4,5,6,1,1,170,7,29,1,24}",1095.000,"{2020: ""a 2020 National Magazine Award"",170: ""more than 170 worldwide awards""}","{1: awards,1: Award}","{1: ,1: worldwide,1: more}","Enron: (ORG,1,1.00),In: (GPE,1,1.00),Afghanistan: (GPE,1,1.00),US: (GPE,1,1.00),People Magazine's: (ORG,1,1.00),Indian: (NORP,16,1.00),Bangalore: (GPE,1,1.00),Gary: (PERSON,1,1.00),Theatre: (GPE,1,1.00),American: (NORP,1,1.00),Hindu: (NORP,1,1.00),English: (LANGUAGE,2,1.00),Goa: (ORG,1,1.00),Underwood: (ORG,1,1.00),Carrie Underwood: (PERSON,1,1.00),Indians: (NORP,1,1.00),Booker: (PERSON,1,1.00),India: (GPE,10,1.00),Christian: (NORP,1,1.00)}",0,0.005,1308.148,1,1.000,726.524
How many people died in the World Trade Center?,2996,125,"{7,2753,19,7,3000,1336,2,2997,3,1,4,7,6,10000,2977,19,6000,265,4,2606,125,6,1000,2753,343,50000,150000,7,7,6,1000,4000,1,1,1,6,2600,2703,50000,5000,2996,246,125,2606,2996,6,1000,1,20,3,11,92,6,1000,6,1000,3,175,3,599,6,1000,24,24,2071,2749,1700,6,1000,24,2606}",599.000,"{3000: ""Close to 3,000 people"",2997: ""2,997 people"",6: ""Only six people"",6: ""Six people"",2753: ""the 2,753 people"",50000: ""50,000 people"",150000: ""150,000 people"",6: ""Six people"",6: ""six people"",2600: ""Just over 2,600 people"",2996: ""these 2,996 people"",246: ""246 people"",2996: ""over 2,996 people"",6: ""Six people"",6: ""Six people"",6: ""Six people"",599: ""an additional 599 people"",6: ""Six people"",1700: ""roughly 1,700 people"",6: ""Six people"",2606: ""2,606 people""}",{21: people),"{20: ,1: additional}","Los Angeles: (GPE,1,1.00),Massachusetts: (GPE,1,1.00),NYPD: (ORG,2,1.00),Sarasota: (GPE,1,1.00),American: (NORP,2,1.00),Associated Press: (ORG,1,1.00),Timeline: (NORP,1,1.00),FDNY: (ORG,1,1.00),Pennsylvania: (GPE,1,1.00),California: (GPE,1,1.00),Americans: (NORP,1,1.00),Jewish: (NORP,1,1.00),American Airlines: (ORG,2,1.00),United States: (GPE,1,1.00),Freedom Tower: (FAC,1,1.00),Pentagon: (ORG,4,1.00),New York: (GPE,2,1.00),WTC: (ORG,4,1.00),North: (LOC,1,1.00),FULL: (ORG,1,1.00),Manhattan: (GPE,5,1.00),New Jersey: (GPE,1,1.00),NYC: (ORG,1,1.00),Israelis: (NORP,1,1.00),Florida: (GPE,1,1.00),Boston: (GPE,1,1.00),the Ritz-Carlton: (FAC,1,1.00),Cantor: (ORG,1,1.00),NIST: (ORG,1,1.00),Twin: (PERSON,1,1.00),Cantor Fitzgerald: (ORG,1,1.00)}",0,0.200,33691.199,0,0.042,19383.987
